date,time,code,open,high,low,close,volume,amount,adjustflag
2022-07-05,20220705110000000,sh.600000,7.9700,7.9800,7.9600,7.9700,437900,3489059.0000,3
2022-07-05,20220705110500000,sh.600000,7.9700,7.9700,7.9600,7.9600,173000,1377937.0000,3
2022-07-05,20220705111000000,sh.600000,7.9600,7.9700,7.9500,7.9600,598600,4763681.0000,3
2022-07-05,20220705111500000,sh.600000,7.9600,7.9600,7.9400,7.9500,812400,6456204.0000,3
2022-07-05,20220705112000000,sh.600000,7.9500,7.9600,7.9400,7.9600,1059700,8423354.0000,3
2022-07-05,20220705112500000,sh.600000,7.9600,7.9600,7.9500,7.9600,155417,1235637.0000,3
2022-07-05,20220705113000000,sh.600000,7.9600,7.9600,7.9500,7.9500,97800,777782.0000,3
2022-07-05,20220705130500000,sh.600000,7.9600,7.9600,7.9500,7.9600,461600,3672380.0000,3
2022-07-05,20220705131000000,sh.600000,7.9600,7.9600,7.9500,7.9600,336226,2673539.0000,3
2022-07-05,20220705131500000,sh.600000,7.9600,7.9600,7.9500,7.9600,190600,1515919.0000,3
2022-07-05,20220705132000000,sh.600000,7.9600,7.9800,7.9500,7.9800,521700,4154625.0000,3
2022-07-05,20220705132500000,sh.600000,7.9700,7.9700,7.9600,7.9600,362100,2884783.0000,3
2022-07-05,20220705133000000,sh.600000,7.9600,7.9700,7.9500,7.9600,314303,2502363.0000,3
2022-07-05,20220705133500000,sh.600000,7.9700,7.9700,7.9500,7.9700,211700,1685116.0000,3
2022-07-05,20220705134000000,sh.600000,7.9700,7.9700,7.9500,7.9600,398900,3175152.0000,3
2022-07-05,20220705134500000,sh.600000,7.9600,7.9700,7.9500,7.9700,141200,1123899.0000,3
2022-07-05,20220705135000000,sh.600000,7.9700,7.9700,7.9500,7.9600,389800,3100836.0000,3
2022-07-05,20220705135500000,sh.600000,7.9600,7.9700,7.9500,7.9500,435700,3466027.0000,3
2022-07-05,20220705140000000,sh.600000,7.9500,7.9600,7.9400,7.9400,636100,5056085.0000,3
2022-07-05,20220705140500000,sh.600000,7.9400,7.9500,7.9400,7.9500,190100,1510331.0000,3
2022-07-05,20220705141000000,sh.600000,7.9400,7.9600,7.9400,7.9400,527586,4193254.0000,3
2022-07-05,20220705141500000,sh.600000,7.9500,7.9600,7.9500,7.9600,151992,1208779.0000,3
2022-07-05,20220705142000000,sh.600000,7.9600,7.9600,7.9500,7.9600,335267,2666749.0000,3
2022-07-05,20220705142500000,sh.600000,7.9500,7.9600,7.9400,7.9600,640141,5088868.0000,3
2022-07-05,20220705143000000,sh.600000,7.9500,7.9700,7.9500,7.9700,325200,2587731.0000,3
2022-07-05,20220705143500000,sh.600000,7.9600,7.9700,7.9500,7.9600,299300,2382598.0000,3
2022-07-05,20220705144000000,sh.600000,7.9700,7.9700,7.9600,7.9600,230100,1832034.0000,3
2022-07-05,20220705144500000,sh.600000,7.9700,7.9700,7.9600,7.9700,156700,1247781.0000,3
2022-07-05,20220705145000000,sh.600000,7.9700,7.9700,7.9600,7.9600,260162,2072087.0000,3
2022-07-05,20220705145500000,sh.600000,7.9700,7.9800,7.9600,7.9800,1047734,8345999.0000,3
2022-07-05,20220705150000000,sh.600000,7.9800,7.9800,7.9700,7.9800,770700,6149411.0000,3
2022-07-06,20220706093500000,sh.600000,7.9700,7.9800,7.9500,7.9600,894785,7128026.0000,3
2022-07-06,20220706094000000,sh.600000,7.9500,7.9700,7.9500,7.9600,626329,4986328.0000,3
2022-07-06,20220706094500000,sh.600000,7.9500,7.9600,7.9400,7.9500,901315,7162856.0000,3
2022-07-06,20220706095000000,sh.600000,7.9500,7.9500,7.9300,7.9500,668400,5307273.0000,3
2022-07-06,20220706095500000,sh.600000,7.9500,7.9500,7.9400,7.9500,323800,2571297.0000,3
2022-07-06,20220706100000000,sh.600000,7.9500,7.9500,7.9200,7.9200,2265700,17957650.0000,3
2022-07-06,20220706100500000,sh.600000,7.9200,7.9300,7.9000,7.9200,1679213,13290059.0000,3
2022-07-06,20220706101000000,sh.600000,7.9200,7.9300,7.9000,7.9100,839200,6640848.0000,3
2022-07-06,20220706101500000,sh.600000,7.9200,7.9200,7.9000,7.9000,621700,4915818.0000,3
2022-07-06,20220706102000000,sh.600000,7.9100,7.9200,7.9000,7.9100,768700,6080694.0000,3
2022-07-06,20220706102500000,sh.600000,7.9100,7.9200,7.9000,7.9100,688100,5440507.0000,3
